Datum,Wettkampf,Gerät,Mannschaft,Turner,D-Note,Endwert,Score
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTT Heilbronn,"Schuster, Axel","2,5","6,80",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTV Hohenlohe,"Müller, Mario","2,5","7,85",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTT Heilbronn,"Hofmann, Jakob","3,5","10,00",1
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTV Hohenlohe,"Albrecht, Jonas","2,6","9,85",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTT Heilbronn,"Braun, Dominik","2,9","8,65",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTV Hohenlohe,"Bortt, Silas","2,6","9,85",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTT Heilbronn,"Schaaf, Jonas","2,8","9,50",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTV Hohenlohe,"Philippiak, Ron","2,6","10,55",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTT Heilbronn,"Storz, Patrick","3,0","10,85",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTV Hohenlohe,"Müller, Mario","3,0","9,70",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTT Heilbronn,"Payer, Stefan","2,8","9,20",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTV Hohenlohe,"Gerlach, Johannes","3,1","10,60",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTT Heilbronn,"Staufert, Colin","2,6","9,20",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Ringe,KTV Hohenlohe,"Bogdahn, Michael","2,6","10,05",3
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTT Heilbronn,"Späth, Fabian","3,2","12,30",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTV Hohenlohe,"Albrecht, Jonas","4,0","12,85",3
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTT Heilbronn,"Binder, Julius","3,2","11,60",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTV Hohenlohe,"Schmidt, Micha Joel","3,2","12,10",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTT Heilbronn,"Hofmann, Jakob","4,0","12,15",1
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTV Hohenlohe,"Bortt, Jan-Moritz","3,2","12,00",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTT Heilbronn,"Thiele, Moritz","3,2","12,25",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Sprung,KTV Hohenlohe,"Bortt, Silas","3,2","11,90",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTT Heilbronn,"Storz, Patrick","2,4","11,40",1
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTV Hohenlohe,"Bortt, Jan-Moritz","2,5","11,15",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTT Heilbronn,"Schaaf, Jonas","2,5","11,75",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTV Hohenlohe,"Philippiak, Ron","2,9","11,45",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTT Heilbronn,"Schuster, Axel","2,5","11,20",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTV Hohenlohe,"Bogdahn, Michael","2,5","11,50",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTT Heilbronn,"Hofmann, Jakob","3,4","10,95",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Barren,KTV Hohenlohe,"Bortt, Silas","2,5","11,40",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTT Heilbronn,"Payer, Stefan","3,0","10,30",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTV Hohenlohe,"Philippiak, Ron","3,1","8,85",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTT Heilbronn,"Schuster, Axel","2,1","10,70",3
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTV Hohenlohe,"Müller, Mario","2,4","10,10",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTT Heilbronn,"Schaaf, Jonas","2,9","6,75",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTV Hohenlohe,"Schmidt, Micha Joel","2,6","9,60",5
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTT Heilbronn,"Hofmann, Jakob","2,5","9,75",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Reck,KTV Hohenlohe,"Bortt, Silas","2,5","9,70",0
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,KTT Heilbronn,"Hofmann, Jakob","3,9","11,90",0
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,TG Allgäu,"Eberle, Stephan","3,9","12,35",2
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,KTT Heilbronn,"Thiele, Moritz","3,5","10,65",0
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,TG Allgäu,"Urbin, Michael","3,9","12,00",4
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,KTT Heilbronn,"Späth, Fabian","3,7","10,90",5
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,TG Allgäu,"Viehmann, Bastian","3,6","7,60",0
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,KTT Heilbronn,"Payer, Stefan","3,4","9,45",0
23.09.2023,KTT Heilbronn - TG Allgäu,Boden,TG Allgäu,"Krapp, Kilian","4,6","12,00",5
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,KTT Heilbronn,"Schaaf, Jonas","2,8","8,20",0
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,TG Allgäu,"Eberle, Maximilian","2,7","10,40",5
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,KTT Heilbronn,"Schuster, Axel","2,7","11,10",0
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,TG Allgäu,"Kirmes, Robert","5,3","14,20",5
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,KTT Heilbronn,"Hofmann, Jakob","3,5","11,25",4
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,TG Allgäu,"Eberle, Stephan","3,9","9,90",0
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,KTT Heilbronn,"Thiele, Moritz","2,1","4,25",0
23.09.2023,KTT Heilbronn - TG Allgäu,Pferd,TG Allgäu,"Eisenring, Linus","4,0","11,90",10
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,KTT Heilbronn,"Staufert, Colin","2,1","9,60",0
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,TG Allgäu,"Schreiber, Florian","4,1","11,75",5
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,KTT Heilbronn,"Storz, Patrick","2,6","10,90",0
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,TG Allgäu,"Eberle, Maximilian","3,3","11,60",3
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,KTT Heilbronn,"Schaaf, Jonas","2,7","10,65",0
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,TG Allgäu,"Kirmes, Robert","4,9","13,70",5
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,KTT Heilbronn,"Payer, Stefan","2,7","9,00",0
23.09.2023,KTT Heilbronn - TG Allgäu,Ringe,TG Allgäu,"Eisenring, Linus","3,5","11,75",5
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,KTT Heilbronn,"Binder, Julius","3,2","11,70",0
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,TG Allgäu,"Viehmann, Bastian","3,2","11,95",1
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,KTT Heilbronn,"Späth, Fabian","3,2","12,05",0
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,TG Allgäu,"Eberle, Stephan","4,0","12,50",2
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,KTT Heilbronn,"Thiele, Moritz","3,2","12,05",0
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,TG Allgäu,"Krapp, Kilian","4,0","12,80",3
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,KTT Heilbronn,"Hofmann, Jakob","4,0","12,80",2
23.09.2023,KTT Heilbronn - TG Allgäu,Sprung,TG Allgäu,"Eisenring, Linus","4,0","12,45",0
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,KTT Heilbronn,"Schuster, Axel","2,5","11,35",0
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,TG Allgäu,"Eberle, Stephan","3,2","12,10",3
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,KTT Heilbronn,"Schaaf, Jonas","2,5","11,20",0
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,TG Allgäu,"Krapp, Kilian","3,2","11,95",3
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,KTT Heilbronn,"Storz, Patrick","2,4","11,30",0
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,TG Allgäu,"Kirmes, Robert","5,4","13,05",4
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,KTT Heilbronn,"Staufert, Colin","2,4","11,35",5
23.09.2023,KTT Heilbronn - TG Allgäu,Barren,TG Allgäu,"Viehmann, Bastian","2,4","8,05",0
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,KTT Heilbronn,"Schuster, Axel","2,1","10,70",0
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,TG Allgäu,"Kirmes, Robert","4,7","11,95",4
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,KTT Heilbronn,"Schaaf, Jonas","2,9","10,85",0
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,TG Allgäu,"Urbin, Michael","3,6","11,10",1
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,KTT Heilbronn,"Payer, Stefan","3,0","8,90",0
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,TG Allgäu,"Gottwald, Julian","3,2","11,45",5
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,KTT Heilbronn,"Hofmann, Jakob","1,9","7,15",0
23.09.2023,KTT Heilbronn - TG Allgäu,Reck,TG Allgäu,"Krapp, Kilian","4,1","12,15",5
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,KTT Heilbronn,"Späth, Fabian","3,8","10,60",0
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,TSG Backnang,"Böckheler, Urs","3,6","11,90",4
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,KTT Heilbronn,"Thiele, Moritz","3,7","11,95",0
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,TSG Backnang,"Cocks, Jonathan","3,8","12,50",3
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,KTT Heilbronn,"Hofmann, Jakob","3,9","10,75",0
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,TSG Backnang,"Tasol, Tim","3,7","11,80",4
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,KTT Heilbronn,"Payer, Stefan","3,9","11,70",0
28.10.2023,KTT Heilbronn - TSG Backnang,Boden,TSG Backnang,"Sirosh, Nikita","4,3","11,80",0
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,KTT Heilbronn,"Binder, Julius","2,5","3,15",0
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,TSG Backnang,"Ellinger, Florian","2,7","9,70",10
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,KTT Heilbronn,"Hofmann, Jakob","3,8","8,55",0
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,TSG Backnang,"Wullert, Bastian","3,2","10,15",4
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,KTT Heilbronn,"Konrad, Joshua","2,7","10,95",4
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,TSG Backnang,"Bölcke, Timo","3,6","9,75",0
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,KTT Heilbronn,"Schuster, Axel","2,4","5,35",0
28.10.2023,KTT Heilbronn - TSG Backnang,Pferd,TSG Backnang,"Cocks, Jonathan","2,4","6,50",4
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,KTT Heilbronn,"Staufert, Colin","2,7","10,80",0
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,TSG Backnang,"Wullert, Bastian","2,9","11,00",1
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,KTT Heilbronn,"Storz, Patrick","3,0","11,05",3
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,TSG Backnang,"Bauer, Timo","2,7","10,50",0
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,KTT Heilbronn,"Schaaf, Jonas","2,7","11,00",0
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,TSG Backnang,"Sirosh, Nikita","3,4","11,15",1
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,KTT Heilbronn,"Payer, Stefan","2,8","9,10",0
28.10.2023,KTT Heilbronn - TSG Backnang,Ringe,TSG Backnang,"Ellinger, Florian","3,2","11,30",5
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,KTT Heilbronn,"Hofmann, Jakob","4,0","12,70",3
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,TSG Backnang,"Cocks, Jonathan","3,2","12,15",0
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,KTT Heilbronn,"Binder, Julius","3,2","11,85",0
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,TSG Backnang,"Tasol, Tim","4,0","12,60",3
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,KTT Heilbronn,"Späth, Fabian","3,2","11,75",0
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,TSG Backnang,"Fischer, Tom","3,2","12,10",2
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,KTT Heilbronn,"Payer, Stefan","4,0","12,10",3
28.10.2023,KTT Heilbronn - TSG Backnang,Sprung,TSG Backnang,"Blessing, Max","3,2","11,55",0
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,KTT Heilbronn,"Storz, Patrick","2,4","11,55",2
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,TSG Backnang,"Ellinger, Florian","2,5","11,15",0
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,KTT Heilbronn,"Hofmann, Jakob","3,4","11,90",2
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,TSG Backnang,"Bölcke, Timo","2,4","11,55",0
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,KTT Heilbronn,"Staufert, Colin","2,4","11,50",1
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,TSG Backnang,"Tasol, Tim","2,5","11,30",0
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,KTT Heilbronn,"Schuster, Axel","2,7","11,55",0
28.10.2023,KTT Heilbronn - TSG Backnang,Barren,TSG Backnang,"Blessing, Max","3,0","11,50",0
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,KTT Heilbronn,"Schaaf, Jonas","2,8","10,85",0
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,TSG Backnang,"Bölcke, Timo","2,5","10,95",0
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,KTT Heilbronn,"Schuster, Axel","2,1","10,05",0
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,TSG Backnang,"Ellinger, Florian","2,5","10,85",3
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,KTT Heilbronn,"Hofmann, Jakob","3,0","10,90",3
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,TSG Backnang,"Wullert, Bastian","2,5","10,35",0
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,KTT Heilbronn,"Braun, Dominik","2,4","10,60",5
28.10.2023,KTT Heilbronn - TSG Backnang,Reck,TSG Backnang,"Cocks, Jonathan","2,4","7,15",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,KTT Heilbronn,"Hofmann, Jakob","3,9","11,45",1
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,TSV Unterföhring,"Bircks, Oliver","3,8","11,20",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,KTT Heilbronn,"Späth, Fabian","3,7","11,30",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,TSV Unterföhring,"Isztl, Daniel","3,5","11,60",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,KTT Heilbronn,"Thiele, Moritz","3,4","11,15",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,TSV Unterföhring,"Miggitsch, Martin","4,6","12,50",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,KTT Heilbronn,"Schaaf, Jonas","3,7","11,70",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Boden,TSV Unterföhring,"Wolf, Sebastian","3,8","11,20",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,KTT Heilbronn,"Thiele, Moritz","2,7","9,50",5
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,TSV Unterföhring,"Eiglmeier, Christoph","2,5","7,00",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,KTT Heilbronn,"Hofmann, Jakob","3,5","10,45",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,TSV Unterföhring,"Miggitsch, Martin","3,9","11,70",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,KTT Heilbronn,"Konrad, Joshua","2,5","2,95",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,TSV Unterföhring,"Bircks, Oliver","2,5","9,95",10
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,KTT Heilbronn,"Schaaf, Jonas","2,7","9,20",5
14.10.2023,KTT Heilbronn - TSV Unterföhring,Pferd,TSV Unterföhring,"Wolf, Sebastian","2,6","7,10",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,KTT Heilbronn,"Storz, Patrick","3,0","9,50",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,TSV Unterföhring,"Bircks, Oliver","2,9","10,95",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,KTT Heilbronn,"Schaaf, Jonas","2,6","10,00",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,TSV Unterföhring,"Bircks, Florian","2,4","10,50",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,KTT Heilbronn,"Payer, Stefan","2,7","9,30",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,TSV Unterföhring,"Eiglmeier, Christoph","3,3","10,55",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,KTT Heilbronn,"Staufert, Colin","2,6","9,90",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Ringe,TSV Unterföhring,"Zander, Daniel","5,0","12,70",5
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,KTT Heilbronn,"Thiele, Moritz","3,2","11,95",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,TSV Unterföhring,"Bircks, Oliver","4,0","12,40",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,KTT Heilbronn,"Hofmann, Jakob","4,0","12,20",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,TSV Unterföhring,"Miggitsch, Martin","4,8","12,90",3
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,KTT Heilbronn,"Späth, Fabian","3,2","11,70",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,TSV Unterföhring,"Isztl, Daniel","4,0","12,10",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,KTT Heilbronn,"Binder, Julius","3,2","11,60",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Sprung,TSV Unterföhring,"Eiglmeier, Christoph","4,0","12,90",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,KTT Heilbronn,"Staufert, Colin","2,4","11,15",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,TSV Unterföhring,"Bircks, Oliver","2,5","11,25",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,KTT Heilbronn,"Hofmann, Jakob","3,4","11,00",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,TSV Unterföhring,"Rolle, Andreas","2,5","11,40",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,KTT Heilbronn,"Schaaf, Jonas","3,0","10,80",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,TSV Unterföhring,"Isztl, Daniel","3,2","11,85",4
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,KTT Heilbronn,"Storz, Patrick","2,9","11,30",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Barren,TSV Unterföhring,"Zander, Daniel","3,8","11,95",3
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,KTT Heilbronn,"Schaaf, Jonas","2,8","10,35",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,TSV Unterföhring,"Marin Ogalla, Pablo","3,6","10,65",2
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,KTT Heilbronn,"Payer, Stefan","2,5","6,00",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,TSV Unterföhring,"Bircks, Oliver","3,2","9,60",5
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,KTT Heilbronn,"Hofmann, Jakob","2,9","11,10",3
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,TSV Unterföhring,"Isztl, Daniel","2,9","10,10",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,KTT Heilbronn,"Thiele, Moritz","2,4","9,90",0
14.10.2023,KTT Heilbronn - TSV Unterföhring,Reck,TSV Unterföhring,"Wolf, Sebastian","2,9","10,95",4
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,KTV Hohenlohe,"Bortt, Silas","3,4","10,95",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,Grötzingen-Karlsruhe,"Kramer, Julius","3,8","10,90",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,KTV Hohenlohe,"Philippiak, Ron","3,5","11,15",3
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,Grötzingen-Karlsruhe,"Bertsch, Julian","3,4","10,50",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,KTV Hohenlohe,"Schmidt, Micha Joel","3,5","11,45",5
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,Grötzingen-Karlsruhe,"Brücher, Björn","3,0","7,05",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,KTV Hohenlohe,"Albrecht, Jonas","3,8","11,05",2
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Boden,Grötzingen-Karlsruhe,"Weiss, Sverre","3,7","10,65",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,KTV Hohenlohe,"Bortt, Silas","2,6","9,65",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,Grötzingen-Karlsruhe,"Richter, Marco","2,8","9,70",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,KTV Hohenlohe,"Bortt, Jan-Moritz","2,3","5,30",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","5,95",3
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,KTV Hohenlohe,"Pfleger, Julian","2,6","8,65",3
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,Grötzingen-Karlsruhe,"Brücher, Björn","2,6","8,10",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,KTV Hohenlohe,"Hofmann, Benjamin","2,5","8,25",5
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Pferd,Grötzingen-Karlsruhe,"Parkin, Nikolai","2,3","4,00",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,KTV Hohenlohe,"Philippiak, Ron","2,6","9,90",4
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,6","8,75",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,KTV Hohenlohe,"Bogdahn, Michael","2,6","9,50",2
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,Grötzingen-Karlsruhe,"Huber, Leo","2,4","9,05",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,KTV Hohenlohe,"Müller, Mario","2,9","9,15",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,Grötzingen-Karlsruhe,"Roth, Tobias","2,6","9,30",1
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,KTV Hohenlohe,"Bortt, Silas","2,9","9,05",1
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Ringe,Grötzingen-Karlsruhe,"Brücher, Björn","2,9","8,80",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,KTV Hohenlohe,"Bortt, Jan-Moritz","3,2","11,85",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,Grötzingen-Karlsruhe,"Eder, Neyén Eitan","3,2","12,05",1
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,KTV Hohenlohe,"Albrecht, Jonas","4,0","13,05",5
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,Grötzingen-Karlsruhe,"Schneider, Sebastian","2,2","10,50",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,KTV Hohenlohe,"Philippiak, Ron","4,0","12,55",2
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,Grötzingen-Karlsruhe,"Kramer, Julius","3,2","12,20",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,KTV Hohenlohe,"Schmidt, Micha Joel","3,2","12,10",5
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Sprung,Grötzingen-Karlsruhe,"Huber, Leo","2,4","9,85",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,KTV Hohenlohe,"Schmidt, Philipp","2,4","11,15",4
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,Grötzingen-Karlsruhe,"Bertsch, Julian","2,5","9,60",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,KTV Hohenlohe,"Bogdahn, Michael","2,5","10,35",1
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","10,20",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,KTV Hohenlohe,"Philippiak, Ron","2,9","10,75",0
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,Grötzingen-Karlsruhe,"Huber, Leo","3,0","10,95",1
28.10.2023,KTV Hohenlohe - Grötzingen-Karlsruhe,Barren,KTV Hohenlohe,"Bortt, Silas","2,5","11,00",3
